flow rate(m3/s)	concentration of nanoparticle(vol. fraction))	Kfluid(W/mC)	heat flux(W/m2)	X/D	heat transfer Cofficent	heat transfer Cofficent (prediction with ANN)1	heat transfer Cofficent (prediction with ANN)2										DATA	NN1			
1٫3E-05	0	0٫604	26526	35	2173	2284٫536885	2217٫24434						21221	35	2198	2203٫206879	1	1	0		
1٫3E-05	0٫005	0٫604	26526	35	2599	2556٫291873	2540٫071679						21221	35	2453	2462٫495727	1٫116014559	1٫117687018	0٫5		
1٫3E-05	0٫01	0٫604	26526	35	2883	2875٫415903	2846٫506904						21221	35	2775	2788٫589929	1٫262511374	1٫265695907	1		
1٫3E-05	0٫015	0٫604	26526	35	3235	3240٫209815	3227٫271372						21221	35	3193	3186٫772649	1٫452684258	1٫44642461	1٫5		
1٫3E-05	0	0٫604	26526	85	2097	2135٫918709	2008٫223118														
1٫3E-05	0٫005	0٫604	26526	85	2279	2281٫140775	2245٫132236						26526	35	2173	2284٫536885	1	1	0		
1٫3E-05	0٫01	0٫604	26526	85	2495	2486٫851164	2477٫036225						26526	35	2599	2556٫291873	1٫196042338	1٫118954082	0٫5		
1٫3E-05	0٫015	0٫604	26526	85	2756	2791٫436147	2785٫863646						26526	35	2883	2875٫415903	1٫32673723	1٫2586428	1		
1٫3E-05	0	0٫604	26526	133	2014	2031٫603644	1994٫755998						26526	35	3235	3240٫209815	1٫488725265	1٫41832239	1٫5		
1٫3E-05	0٫005	0٫604	26526	133	2181	2189٫662208	2175٫604507														
1٫3E-05	0٫01	0٫604	26526	133	2380	2385٫019588	2360٫347639														
1٫3E-05	0٫015	0٫604	26526	133	2617	2616٫703207	2615٫299071											data	NN1	hnf/h	hnf/h
1٫3E-05	0	0٫604	26526	180	1925	1944٫30439	1920٫543124						2960	0	0٫604	26526	35	2173	2284٫536885	1	1
1٫3E-05	0٫005	0٫604	26526	180	2078	2080٫145793	2103٫090912						2960	0٫005	0٫604	26526	35	2599	2556٫291873	1٫196042338	1٫118954082
1٫3E-05	0٫01	0٫604	26526	180	2258	2257٫860282	2275٫766959						2960	0٫01	0٫604	26526	35	2883	2875٫415903	1٫32673723	1٫2586428
1٫3E-05	0٫015	0٫604	26526	180	2472	2487٫803826	2486٫076215						2960	0٫015	0٫604	26526	35	3235	3240٫209815	1٫488725265	1٫41832239
1٫83E-05	0	0٫604	26526	35	3039	2987٫435626	3000٫920206						3960	0	0٫604	26526	35	3039	2987٫435626	1	1
1٫83E-05	0٫005	0٫604	26526	35	3433	3453٫613902	3454٫751985						3960	0٫005	0٫604	26526	35	3433	3453٫613902	1٫12964791	1٫1560463
1٫83E-05	0٫01	0٫604	26526	35	3944	4011٫058066	3970٫069221						3960	0٫01	0٫604	26526	35	3944	4011٫058066	1٫297795327	1٫34264251
1٫83E-05	0٫015	0٫604	26526	35	4635	4664٫697217	4646٫671573						3960	0٫015	0٫604	26526	35	4635	4664٫697217	1٫350131081	1٫561438572
1٫83E-05	0	0٫604	26526	85	2975	2977٫34384	2970٫633506						3081	0	0٫349	26526	35	2503	2541٫314404	1	1
1٫83E-05	0٫005	0٫604	26526	85	3353	3361٫344523	3392٫885944						3081	0٫005	0٫349	26526	35	3086	3043٫010131	1٫232920495	1٫197415844
1٫83E-05	0٫01	0٫604	26526	85	3842	3838٫945479	3861٫288725						3081	0٫01	0٫349	26526	35	3492	3553٫528571	1٫395125849	1٫3983034
1٫83E-05	0٫015	0٫604	26526	85	4497	4452٫172812	4468٫700543						3081	0٫015	0٫349	26526	35	4022	4021٫597005	1٫606871754	1٫582486999
1٫83E-05	0	0٫604	26526	133	2895	2856٫208291	2856٫73422						2030	0	0٫349	26526	35	1618	1600٫716709	1	1
1٫83E-05	0٫005	0٫604	26526	133	3254	3249٫964306	3249٫663775						2030	0٫005	0٫349	26526	35	1844	1833٫149056	1٫139678616	1٫145205173
1٫83E-05	0٫01	0٫604	26526	133	3713	3733٫4898	3719٫033522						2030	0٫01	0٫349	26526	35	2141	2143٫398543	1٫323238566	1٫339024283
1٫83E-05	0٫015	0٫604	26526	133	4323	4307٫292802	4338٫386889						2030	0٫015	0٫349	26526	35	2554	2568٫195156	1٫578491965	1٫604403291
1٫83E-05	0	0٫604	26526	180	2802	2769٫314339	2782٫197455														
1٫83E-05	0٫005	0٫604	26526	180	3137	3134٫398021	3144٫371764														
1٫83E-05	0٫01	0٫604	26526	180	3563	3590٫498482	3565٫960145														
1٫83E-05	0٫015	0٫604	26526	180	4123	4150٫104985	4109٫862993														
1٫38E-05	0	0٫604	21221	35	2198	2203٫206879	2201٫69471														
1٫38E-05	0٫005	0٫604	21221	35	2453	2462٫495727	2469٫902565														
1٫38E-05	0٫01	0٫604	21221	35	2775	2788٫589929	2774٫250474														
1٫38E-05	0٫015	0٫604	21221	35	3193	3186٫772649	3206٫704614														
7٫19E-05	0	0٫349	26526	35	2503	2541٫314404	2531٫174789														
7٫19E-05	0٫005	0٫349	26526	35	3086	3043٫010131	3045٫071246														
7٫19E-05	0٫01	0٫349	26526	35	3492	3553٫528571	3508٫987485														
7٫19E-05	0٫015	0٫349	26526	35	4022	4021٫597005	4019٫405851														
4٫74E-05	0	0٫349	26526	35	1618	1600٫716709	1576٫846413														
4٫74E-05	0٫005	0٫349	26526	35	1844	1833٫149056	1872٫488547														
4٫74E-05	0٫01	0٫349	26526	35	2141	2143٫398543	2135٫159251														
4٫74E-05	0٫015	0٫349	26526	35	2554	2568٫195156	2509٫135231														
4٫74E-05	0	0٫349	26526	85	1178	1219٫794631	1151٫634276														
4٫74E-05	0٫005	0٫349	26526	85	1359	1349٫082973	1372٫437339														
4٫74E-05	0٫01	0٫349	26526	85	1515	1510٫689292	1526٫066547														
4٫74E-05	0٫015	0٫349	26526	85	1710	1718٫174144	1710٫804673														
4٫74E-05	0	0٫349	26526	133	1033	1040٫364977	976٫7697607														
4٫74E-05	0٫005	0٫349	26526	133	1170	1164٫784452	1166٫90428														
4٫74E-05	0٫01	0٫349	26526	133	1283	1281٫233592	1287٫27609														
4٫74E-05	0٫015	0٫349	26526	133	1421	1401٫430086	1417٫289965														
4٫74E-05	0	0٫349	26526	180	919	927٫3796984	917٫4522532														
4٫74E-05	0٫005	0٫349	26526	180	1067	1050٫489645	1058٫3805														
4٫74E-05	0٫01	0٫349	26526	180	1160	1168٫363489	1161٫608739														
4٫74E-05	0٫015	0٫349	26526	180	1272	1274٫351281	1272٫578613														
